time,entity,dimensions,metric_name,metric_value
1666108800,76,"{""os"":""Windows 8.1"",""city"":""江门""}",vv,83882162
1665417600,64,"{""city"":""济宁""}",pv,349559936
1665849600,45,"{""os"":""Windows 8.1""}",vv,339025614
1666022400,59,"{""city"":""杭州""}",vv,272098964
1665849600,7,"{""city"":""三亚""}",pv,901275404
1665763200,19,"{""os"":""iOS""}",vv,398770762
1665936000,75,"{""os"":""Windows 8.1""}",vv,878299484
1666022400,68,"{""os"":""Ubuntu Touch""}",vv,835045262
1666195200,74,"{""city"":""金昌""}",vv,428240328
1666195200,27,"{""city"":""宝鸡""}",pv,892882371
1665676800,24,"{""city"":""吴江""}",vv,161593305
1665763200,74,"{""os"":""webOS""}",vv,562107288
1665676800,55,"{""os"":""Android""}",vv,660700395
1665417600,24,"{""os"":""Windows 8.1""}",vv,554078788
1665763200,21,"{""os"":""webOS""}",vv,372784949
1665504000,22,"{""os"":""Android"",""city"":""郑州""}",vv,615642332
1665763200,20,"{""os"":""BlackBerry""}",vv,632864773
1666022400,9,"{""city"":""丽水""}",pv,480355003
1666108800,62,"{""os"":""Windows RT""}",vv,562301533
1666108800,45,"{""os"":""Android""}",pv,407263949
1666022400,54,"{""os"":""Windows Phone""}",pv,495849386
1665590400,45,"{""os"":""Windows Phone"",""city"":""渭南""}",vv,364095905
1665849600,4,"{""city"":""义乌""}",vv,971698953
1665936000,43,"{""os"":""Android""}",vv,68881883
1665849600,74,"{""os"":""Windows 8.1""}",vv,529086550
1666195200,32,"{""os"":""Windows 8""}",pv,795173328
1666195200,6,"{""city"":""福州""}",pv,408518416
1665849600,11,"{""os"":""Windows 8.1""}",vv,441188613
1666022400,12,"{""os"":""Windows 10""}",pv,766830199
1665849600,67,"{""os"":""Windows 8.1""}",vv,325413737
1665504000,26,"{""os"":""Windows 8""}",vv,94433196
1665590400,70,"{""os"":""webOS""}",pv,528118930
1665417600,12,"{""os"":""Danger OS""}",pv,125483064
1665849600,90,"{""os"":""Windows RT""}",vv,405172900
1665849600,22,"{""os"":""Danger OS""}",pv,749081414
1666195200,39,"{""os"":""Windows Phone"",""city"":""齐齐哈尔""}",vv,760209376
1665849600,88,"{""city"":""无锡""}",pv,282038228
1665590400,34,"{""os"":""Windows Phone"",""city"":""徐州""}",vv,366831918
1665936000,35,"{""os"":""Windows 8""}",vv,975241202
1665676800,30,"{""os"":""iOS""}",vv,181650792
1665676800,94,"{""os"":""Windows RT"",""city"":""茂名""}",vv,937891404
1665504000,85,"{""os"":""iOS""}",vv,119140626
1666022400,10,"{""os"":""Firefox OS"",""city"":""南宁""}",vv,64040203
1665417600,35,"{""os"":""Windows Phone""}",pv,354439711
1665504000,69,"{""os"":""BlackBerry""}",vv,486600785
1665676800,42,"{""city"":""肇庆""}",vv,544388930
1665676800,46,"{""os"":""webOS""}",vv,141326912
1665676800,29,"{""os"":""Ubuntu Touch""}",pv,593638158
1665676800,45,"{""city"":""菏泽""}",pv,120193819
1666022400,89,"{""city"":""东莞""}",vv,155866295
